Date,Value
12-06-2016,48200
12-07-2016,41757
12-08-2016,39587
12-09-2016,41444
12-10-2016,40564
12-11-2016,39164
12-12-2016,38741
12/13/2016,44664
12/14/2016,47294
12/15/2016,46102
12/16/2016,43953
12/17/2016,39442
12/18/2016,36640
12/19/2016,45599
12/20/2016,44241
12/21/2016,50793
12/22/2016,55173
12/23/2016,44391
12/24/2016,37757
12/25/2016,36601
12/26/2016,34565
12/27/2016,42370
12/28/2016,43386
12/29/2016,46546
12/30/2016,44561
12/31/2016,41220
01-01-2017,38730
01-02-2017,39652
01-03-2017,45883
01-04-2017,50673
01-05-2017,49596
01-06-2017,43804
01-07-2017,43622
01-08-2017,42727
01-09-2017,46188
01-10-2017,48179
01-11-2017,45221
01-12-2017,50589
1/13/2017,50833
1/14/2017,42044
1/15/2017,41748
1/16/2017,45375
1/17/2017,46671
1/18/2017,44994
1/19/2017,43628
1/20/2017,45775
1/21/2017,43302
1/22/2017,47432
1/23/2017,46076
1/24/2017,50414
1/25/2017,46256
1/26/2017,46856
1/27/2017,46680
1/28/2017,45189
1/29/2017,42509
1/30/2017,45369
1/31/2017,43649
02-01-2017,44541
02-02-2017,43709
02-03-2017,42778
02-04-2017,45410
02-05-2017,46542
02-06-2017,47306
02-07-2017,51866
02-08-2017,51089
02-09-2017,47873
02-10-2017,52222
02-11-2017,46560
02-12-2017,45319
2/13/2017,55990
2/14/2017,58298
2/15/2017,55320
2/16/2017,49674
2/17/2017,49406
2/18/2017,49398
2/19/2017,48227
2/20/2017,50152
2/21/2017,58434
2/22/2017,50372
2/23/2017,47601
2/24/2017,54081
2/25/2017,53245
2/26/2017,51716
2/27/2017,52642
2/28/2017,60277
03-01-2017,59774
03-02-2017,70779
03-03-2017,64294
03-04-2017,58756
03-05-2017,57031
03-06-2017,57020
03-07-2017,62589
03-08-2017,55386
03-09-2017,64266
03-10-2017,65132
03-11-2017,64803
03-12-2017,66646
3/13/2017,81718
3/14/2017,77155
3/15/2017,81205
3/16/2017,109950
3/17/2017,106635
3/18/2017,89920
3/19/2017,84599
3/20/2017,80264
3/21/2017,84298
3/22/2017,78821
3/23/2017,82434
3/24/2017,87775
3/25/2017,84394
3/26/2017,79534
3/27/2017,94570
3/28/2017,84348
3/29/2017,93064
3/30/2017,96209
3/31/2017,103102
04-01-2017,80572
04-02-2017,88948
04-03-2017,100221
04-04-2017,86279
04-05-2017,87411
04-06-2017,95177
04-07-2017,92846
04-08-2017,72144
04-09-2017,74557
04-10-2017,75487
04-11-2017,75891
04-12-2017,80347
4/13/2017,84124
4/14/2017,81155
4/15/2017,74820
4/16/2017,70634
4/17/2017,72546
4/18/2017,83303
4/19/2017,85734
4/20/2017,85450
4/21/2017,81278
4/22/2017,73539
4/23/2017,77073
4/24/2017,80531
4/25/2017,93033
4/26/2017,89642
4/27/2017,104494
4/28/2017,106193
4/29/2017,91335
4/30/2017,95202
05-01-2017,112202
05-02-2017,110354
05-03-2017,97334
05-04-2017,114877
05-05-2017,108514
05-06-2017,95014
05-07-2017,106631
05-08-2017,117509
05-09-2017,112933
05-10-2017,109673
